"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Pertussis","All cases","Reported cases","N","1999-03","LT","Lithuania",-,""
"Pertussis","All cases","Reported cases","N","1999-03","MT","Malta",1.000000000,""
"Pertussis","All cases","Reported cases","N","1999-03","NL","Netherlands",-,""
"Pertussis","All cases","Reported cases","N","1999-03","NO","Norway",73.000000000,""
"Pertussis","All cases","Reported cases","N","1999-03","PT","Portugal",1.000000000,""
"Pertussis","All cases","Reported cases","N","1999-03","SE","Sweden",121.000000000,""
"Pertussis","All cases","Reported cases","N","1999-03","UK","United Kingdom",34.000000000,""
"Pertussis","All cases","Reported cases","N","1999-04","AT","Austria",-,""
"Pertussis","All cases","Reported cases","N","1999-04","DK","Denmark",29.000000000,""
"Pertussis","All cases","Reported cases","N","1999-04","EL","Greece",6.000000000,""
"Pertussis","All cases","Reported cases","N","1999-04","ES","Spain",13.000000000,""
"Pertussis","All cases","Reported cases","N","1999-04","EU_EEA31","EU/EEA",741.000000000,""
"Pertussis","All cases","Reported cases","N","1999-04","FR","France",18.000000000,""
"Pertussis","All cases","Reported cases","N","1999-04","IE","Ireland",12.000000000,""
"Pertussis","All cases","Reported cases","N","1999-04","IS","Iceland",3.000000000,""
"Pertussis","All cases","Reported cases","N","1999-04","IT","Italy",417.000000000,""
"Pertussis","All cases","Reported cases","N","1999-04","LT","Lithuania",-,""
"Pertussis","All cases","Reported cases","N","1999-04","MT","Malta",10.000000000,""
"Pertussis","All cases","Reported cases","N","1999-04","NL","Netherlands",-,""
"Pertussis","All cases","Reported cases","N","1999-04","NO","Norway",54.000000000,""
"Pertussis","All cases","Reported cases","N","1999-04","PT","Portugal",0.000000000,""
"Pertussis","All cases","Reported cases","N","1999-04","SE","Sweden",156.000000000,""
"Pertussis","All cases","Reported cases","N","1999-04","UK","United Kingdom",23.000000000,""
"Pertussis","All cases","Reported cases","N","1999-05","AT","Austria",-,""
"Pertussis","All cases","Reported cases","N","1999-05","DK","Denmark",47.000000000,""
"Pertussis","All cases","Reported cases","N","1999-05","EL","Greece",2.000000000,""
"Pertussis","All cases","Reported cases","N","1999-05","ES","Spain",18.000000000,""
"Pertussis","All cases","Reported cases","N","1999-05","EU_EEA31","EU/EEA",804.000000000,""
"Pertussis","All cases","Reported cases","N","1999-05","FR","France",17.000000000,""
"Pertussis","All cases","Reported cases","N","1999-05","IE","Ireland",18.000000000,""
"Pertussis","All cases","Reported cases","N","1999-05","IS","Iceland",2.000000000,""
